mechanism,label,oversubscription,n_tenants,bound_mode,bound,seed,valid_throughput_Bpns,admission_p99_ns,pinned_peak,reclaimable_capacity_frac,rpe_payload_frac
PROSE,PROSE (transfer-scoped pin),4,32,capacity,512,2,2.097152,9.0,32,0.9375,0.0
REFCNT,RefCnt (protect before enqueue),4,32,capacity,512,2,2.0971493785632767,342.3333333333333,128,0.75,0.0
2PHASE,2Phase (reserve + request),4,32,capacity,512,2,2.0971153004822414,4675.666666666666,128,0.75,0.0
GENONLY,"GenOnly (one-shot check, no pin)",4,32,capacity,512,2,1.73228032,9.0,32,0.9375,0.173984375
PROSE,PROSE (transfer-scoped pin),4,32,capacity,512,3,2.097152,9.0,32,0.9375,0.0
REFCNT,RefCnt (protect before enqueue),4,32,capacity,512,3,2.0971493785632767,342.3333333333333,128,0.75,0.0
2PHASE,2Phase (reserve + request),4,32,capacity,512,3,2.0971153004822414,4675.666666666666,128,0.75,0.0
GENONLY,"GenOnly (one-shot check, no pin)",4,32,capacity,512,3,1.73228032,9.0,32,0.9375,0.173984375
PROSE,PROSE (transfer-scoped pin),4,32,capacity,512,4,2.097152,9.0,32,0.9375,0.0
REFCNT,RefCnt (protect before enqueue),4,32,capacity,512,4,2.0971493785632767,342.3333333333333,128,0.75,0.0
2PHASE,2Phase (reserve + request),4,32,capacity,512,4,2.0971153004822414,4675.666666666666,128,0.75,0.0
GENONLY,"GenOnly (one-shot check, no pin)",4,32,capacity,512,4,1.73768704,9.0,32,0.9375,0.17140625
PROSE,PROSE (transfer-scoped pin),4,32,capacity,512,5,2.097152,9.0,32,0.9375,0.0
REFCNT,RefCnt (protect before enqueue),4,32,capacity,512,5,2.0971493785632767,342.3333333333333,128,0.75,0.0
2PHASE,2Phase (reserve + request),4,32,capacity,512,5,2.0971153004822414,4675.666666666666,128,0.75,0.0
GENONLY,"GenOnly (one-shot check, no pin)",4,32,capacity,512,5,1.73473792,9.0,32,0.9375,0.1728125
PROSE,PROSE (transfer-scoped pin),4,32,capacity,512,6,2.097152,9.0,32,0.9375,0.0
REFCNT,RefCnt (protect before enqueue),4,32,capacity,512,6,2.0971493785632767,342.3333333333333,128,0.75,0.0
2PHASE,2Phase (reserve + request),4,32,capacity,512,6,2.0971153004822414,4675.666666666666,128,0.75,0.0
GENONLY,"GenOnly (one-shot check, no pin)",4,32,capacity,512,6,1.72916736,9.0,32,0.9375,0.17546875
PROSE,PROSE (transfer-scoped pin),4,32,capacity,512,7,2.097152,9.0,32,0.9375,0.0
REFCNT,RefCnt (protect before enqueue),4,32,capacity,512,7,2.0971493785632767,342.3333333333333,128,0.75,0.0
