bound_mode,mechanism,oversubscription,n_tenants,seed,valid_throughput_Bpns,admission_p99_ns,pinned_peak,reclaimable_capacity_frac,rpe_payload_frac,stale_admits,stale_admit_rate,retries,retries_per_descriptor,evict_fired,evict_blocked
capacity,REFCNT_S,2,16,7,1.7314589556763054,525.6666666666667,32,0.9375,0.174375,1116,0.174375,1105,0.17265625,0,2310
capacity,2PHASE,2,16,7,2.0971153004822414,4009.0,64,0.875,0.0,0,0.0,0,0.0,0,2310
capacity,GENONLY,2,16,7,1.7186816,9.0,32,0.9375,0.18046875,0,0.0,0,0.0,2310,0
capacity,RECLAIM_DEFER,2,16,7,1.7186816,9.0,64,0.875,0.18046875,0,0.0,0,0.0,2310,0
capacity,PROSE_HOSTSEL,2,16,7,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2310
capacity,PROSE,2,16,8,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2212
capacity,REFCNT,2,16,8,2.0971493785632767,294.7142857142857,64,0.875,0.0,0,0.0,0,0.0,0,2212
capacity,REFCNT_S,2,16,8,1.7340803923995094,525.6666666666667,32,0.9375,0.173125,1108,0.173125,1078,0.1684375,0,2212
capacity,2PHASE,2,16,8,2.0971153004822414,4009.0,64,0.875,0.0,0,0.0,0,0.0,0,2212
capacity,GENONLY,2,16,8,1.73473792,9.0,32,0.9375,0.1728125,0,0.0,0,0.0,2212,0
capacity,RECLAIM_DEFER,2,16,8,1.73473792,9.0,64,0.875,0.1728125,0,0.0,0,0.0,2212,0
capacity,PROSE_HOSTSEL,2,16,8,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2212
capacity,PROSE,2,16,9,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2261
capacity,REFCNT,2,16,9,2.0971493785632767,294.7142857142857,64,0.875,0.0,0,0.0,0,0.0,0,2261
capacity,REFCNT_S,2,16,9,1.7258884026394967,525.6666666666667,32,0.9375,0.17703125,1133,0.17703125,1163,0.18171875,0,2261
capacity,2PHASE,2,16,9,2.0971153004822414,4009.0,64,0.875,0.0,0,0.0,0,0.0,0,2261
capacity,GENONLY,2,16,9,1.72670976,9.0,32,0.9375,0.176640625,0,0.0,0,0.0,2261,0
capacity,RECLAIM_DEFER,2,16,9,1.72670976,9.0,64,0.875,0.176640625,0,0.0,0,0.0,2261,0
capacity,PROSE_HOSTSEL,2,16,9,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2261
