bound_mode,mechanism,oversubscription,n_tenants,seed,valid_throughput_Bpns,admission_p99_ns,pinned_peak,reclaimable_capacity_frac,rpe_payload_frac,stale_admits,stale_admit_rate,retries,retries_per_descriptor,evict_fired,evict_blocked
capacity,GENONLY_EF,4,16,7,1.7564371962566327,9.0,32,0.9375,0.16246547877472264,0,0.0,0,0.0,2213,0
capacity,PROSE,4,16,8,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2285
capacity,GENONLY,4,16,8,1.7227776,9.0,32,0.9375,0.178515625,0,0.0,0,0.0,2285,0
capacity,GENONLY_EF,4,16,8,1.7453520331886154,9.0,32,0.9375,0.16775129643029427,0,0.0,0,0.0,2285,0
capacity,PROSE,4,16,9,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2251
capacity,GENONLY,4,16,9,1.72834816,9.0,32,0.9375,0.175859375,0,0.0,0,0.0,2251,0
capacity,GENONLY_EF,4,16,9,1.7505866935262904,9.0,32,0.9375,0.16525521587071876,0,0.0,0,0.0,2251,0
capacity,PROSE,8,16,0,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2302
capacity,GENONLY,8,16,0,1.71999232,9.0,32,0.9375,0.17984375,0,0.0,0,0.0,2302,0
capacity,GENONLY_EF,8,16,0,1.7427347030197782,9.0,32,0.9375,0.168999336710082,0,0.0,0,0.0,2302,0
capacity,PROSE,8,16,1,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2250
capacity,GENONLY,8,16,1,1.728512,9.0,32,0.9375,0.17578125,0,0.0,0,0.0,2250,0
capacity,GENONLY_EF,8,16,1,1.7507406541244572,9.0,32,0.9375,0.1651818017366136,0,0.0,0,0.0,2250,0
capacity,PROSE,8,16,2,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2269
capacity,GENONLY,8,16,2,1.72539904,9.0,32,0.9375,0.177265625,0,0.0,0,0.0,2269,0
capacity,GENONLY_EF,8,16,2,1.7478154027592863,9.0,32,0.9375,0.16657667028461165,0,0.0,0,0.0,2269,0
capacity,PROSE,8,16,3,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2163
capacity,GENONLY,8,16,3,1.74276608,9.0,32,0.9375,0.168984375,0,0.0,0,0.0,2163,0
capacity,GENONLY_EF,8,16,3,1.764135226164978,9.0,32,0.9375,0.15879477206946455,0,0.0,0,0.0,2163,0
capacity,PROSE,8,16,4,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2184
capacity,GENONLY,8,16,4,1.73932544,9.0,32,0.9375,0.170625,0,0.0,0,0.0,2184,0
capacity,GENONLY_EF,8,16,4,1.7609020536034734,9.0,32,0.9375,0.16033646888567293,0,0.0,0,0.0,2184,0
capacity,PROSE,8,16,5,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2214
capacity,GENONLY,8,16,5,1.73441024,9.0,32,0.9375,0.17296875,0,0.0,0,0.0,2214,0
capacity,GENONLY_EF,8,16,5,1.756283235658466,9.0,32,0.9375,0.16253889290882778,0,0.0,0,0.0,2214,0
capacity,PROSE,8,16,6,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2197
