bound_mode,mechanism,oversubscription,n_tenants,seed,valid_throughput_Bpns,admission_p99_ns,backlog_wait_p99_ns,pinned_peak,pinned_byte_time_Bns,reclaimable_capacity_frac,nonreclaimable_frac,rpe_payload_frac,blocked_reclaim_ratio
capacity,PROSE,8,32,1,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
capacity,REFCNT,8,32,1,2.0971493785632767,509.0,198000000.0,256,3355443200000000.0,0.5,0.5,0.0,1.0
capacity,2PHASE,8,32,1,2.0971153004822414,7009.0,198000000.0,256,3355443200000000.0,0.5,0.5,0.0,1.0
capacity,GENONLY,8,32,1,1.728512,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.17578125,0.0
capacity,PROSE,8,32,2,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
capacity,REFCNT,8,32,2,2.0971493785632767,509.0,198000000.0,256,3355443200000000.0,0.5,0.5,0.0,1.0
capacity,2PHASE,8,32,2,2.0971153004822414,7009.0,198000000.0,256,3355443200000000.0,0.5,0.5,0.0,1.0
capacity,GENONLY,8,32,2,1.72539904,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.177265625,0.0
capacity,PROSE,8,32,3,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
capacity,REFCNT,8,32,3,2.0971493785632767,509.0,198000000.0,256,3355443200000000.0,0.5,0.5,0.0,1.0
capacity,2PHASE,8,32,3,2.0971153004822414,7009.0,198000000.0,256,3355443200000000.0,0.5,0.5,0.0,1.0
capacity,GENONLY,8,32,3,1.74276608,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.168984375,0.0
capacity,PROSE,8,32,4,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
capacity,REFCNT,8,32,4,2.0971493785632767,509.0,198000000.0,256,3355443200000000.0,0.5,0.5,0.0,1.0
capacity,2PHASE,8,32,4,2.0971153004822414,7009.0,198000000.0,256,3355443200000000.0,0.5,0.5,0.0,1.0
capacity,GENONLY,8,32,4,1.73932544,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.170625,0.0
capacity,PROSE,8,32,5,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
capacity,REFCNT,8,32,5,2.0971493785632767,509.0,198000000.0,256,3355443200000000.0,0.5,0.5,0.0,1.0
capacity,2PHASE,8,32,5,2.0971153004822414,7009.0,198000000.0,256,3355443200000000.0,0.5,0.5,0.0,1.0
capacity,GENONLY,8,32,5,1.73441024,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.17296875,0.0
capacity,PROSE,8,32,6,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
capacity,REFCNT,8,32,6,2.0971493785632767,509.0,198000000.0,256,3355443200000000.0,0.5,0.5,0.0,1.0
capacity,2PHASE,8,32,6,2.0971153004822414,7009.0,198000000.0,256,3355443200000000.0,0.5,0.5,0.0,1.0
capacity,GENONLY,8,32,6,1.73719552,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.171640625,0.0
capacity,PROSE,8,32,7,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
capacity,REFCNT,8,32,7,2.0971493785632767,509.0,198000000.0,256,3355443200000000.0,0.5,0.5,0.0,1.0
capacity,2PHASE,8,32,7,2.0971153004822414,7009.0,198000000.0,256,3355443200000000.0,0.5,0.5,0.0,1.0
capacity,GENONLY,8,32,7,1.72867584,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.175703125,0.0
capacity,PROSE,8,32,8,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
capacity,REFCNT,8,32,8,2.0971493785632767,509.0,198000000.0,256,3355443200000000.0,0.5,0.5,0.0,1.0
capacity,2PHASE,8,32,8,2.0971153004822414,7009.0,198000000.0,256,3355443200000000.0,0.5,0.5,0.0,1.0
capacity,GENONLY,8,32,8,1.72818432,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.1759375,0.0
capacity,PROSE,8,32,9,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
capacity,REFCNT,8,32,9,2.0971493785632767,509.0,198000000.0,256,3355443200000000.0,0.5,0.5,0.0,1.0
capacity,2PHASE,8,32,9,2.0971153004822414,7009.0,198000000.0,256,3355443200000000.0,0.5,0.5,0.0,1.0
capacity,GENONLY,8,32,9,1.728512,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.17578125,0.0
capacity,PROSE,16,8,0,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
capacity,REFCNT,16,8,0,1.0485746892816383,12509.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,2PHASE,16,8,0,1.0485576502411207,175009.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,GENONLY,16,8,0,1.72949504,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.1753125,0.0
capacity,PROSE,16,8,1,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
capacity,REFCNT,16,8,1,1.0485746892816383,12509.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,2PHASE,16,8,1,1.0485576502411207,175009.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,GENONLY,16,8,1,1.72720128,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.17640625,0.0
capacity,PROSE,16,8,2,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
capacity,REFCNT,16,8,2,1.0485746892816383,12509.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,2PHASE,16,8,2,1.0485576502411207,175009.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,GENONLY,16,8,2,1.73703168,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.17171875,0.0
capacity,PROSE,16,8,3,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
capacity,REFCNT,16,8,3,1.0485746892816383,12509.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,2PHASE,16,8,3,1.0485576502411207,175009.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,GENONLY,16,8,3,1.7440768,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.168359375,0.0
capacity,PROSE,16,8,4,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
capacity,REFCNT,16,8,4,1.0485746892816383,12509.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,2PHASE,16,8,4,1.0485576502411207,175009.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,GENONLY,16,8,4,1.72589056,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.17703125,0.0
capacity,PROSE,16,8,5,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
capacity,REFCNT,16,8,5,1.0485746892816383,12509.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
