trace,policy,buffer_pct,buffer_capacity,num_tenants,epoch_interval,total_descriptors,stale_admits,rpe_rate,eviction_race_pct,epoch_race_pct,buffer_evictions,trace_name
burstgpt_8t.csv,LIRS,100,512,16,500,52440,15498,0.29553775743707095,0.29532799389778797,0.00020976353928299008,0,BurstGPT
burstgpt_8t.csv,LIRS,200,1024,2,500,52440,1051,0.020041952707856598,0.019717772692601068,0.0003241800152555301,0,BurstGPT
burstgpt_8t.csv,LIRS,200,1024,4,500,52440,3101,0.059134248665141116,0.05873379099923722,0.00040045766590389014,0,BurstGPT
burstgpt_8t.csv,LIRS,200,1024,8,500,52440,7293,0.13907322654462242,0.13872997711670482,0.00034324942791762013,0,BurstGPT
burstgpt_8t.csv,LIRS,200,1024,16,500,52440,15381,0.2933066361556064,0.29300152555301295,0.00030511060259344014,0,BurstGPT
burstgpt_8t.csv,LIRS,400,2048,2,500,52440,1040,0.019832189168573607,0.019508009153318077,0.0003241800152555301,0,BurstGPT
burstgpt_8t.csv,LIRS,400,2048,4,500,52440,3068,0.058504958047292145,0.05810450038138825,0.00040045766590389014,0,BurstGPT
burstgpt_8t.csv,LIRS,400,2048,8,500,52440,7219,0.13766209000762777,0.13731884057971014,0.00034324942791762013,0,BurstGPT
burstgpt_8t.csv,LIRS,400,2048,16,500,52440,15246,0.29073226544622427,0.2904271548436308,0.00030511060259344014,0,BurstGPT
burstgpt_8t.csv,SIEVE,50,256,2,500,52440,1055,0.02011823035850496,0.01979405034324943,0.0003241800152555301,0,BurstGPT
burstgpt_8t.csv,SIEVE,50,256,4,500,52440,3112,0.059344012204424104,0.05894355453852022,0.00040045766590389014,0,BurstGPT
burstgpt_8t.csv,SIEVE,50,256,8,500,52440,7349,0.14014111365369947,0.13979786422578186,0.00034324942791762013,0,BurstGPT
burstgpt_8t.csv,SIEVE,50,256,16,500,52440,15512,0.2958047292143402,0.2954805491990847,0.0003241800152555301,0,BurstGPT
burstgpt_8t.csv,SIEVE,100,512,2,500,52440,1054,0.020099160945842867,0.019774980930587337,0.0003241800152555301,0,BurstGPT
burstgpt_8t.csv,SIEVE,100,512,4,500,52440,3109,0.05928680396643783,0.058886346300533944,0.00040045766590389014,0,BurstGPT
burstgpt_8t.csv,SIEVE,100,512,8,500,52440,7326,0.1397025171624714,0.1393592677345538,0.00034324942791762013,0,BurstGPT
burstgpt_8t.csv,SIEVE,100,512,16,500,52440,15466,0.29492753623188406,0.29460335621662853,0.0003241800152555301,0,BurstGPT
burstgpt_8t.csv,SIEVE,200,1024,2,500,52440,1051,0.020041952707856598,0.019717772692601068,0.0003241800152555301,0,BurstGPT
burstgpt_8t.csv,SIEVE,200,1024,4,500,52440,3101,0.059134248665141116,0.05873379099923722,0.00040045766590389014,0,BurstGPT
burstgpt_8t.csv,SIEVE,200,1024,8,500,52440,7293,0.13907322654462242,0.13872997711670482,0.00034324942791762013,0,BurstGPT
burstgpt_8t.csv,SIEVE,200,1024,16,500,52440,15381,0.2933066361556064,0.29300152555301295,0.00030511060259344014,0,BurstGPT
burstgpt_8t.csv,SIEVE,400,2048,2,500,52440,1040,0.019832189168573607,0.019508009153318077,0.0003241800152555301,0,BurstGPT
burstgpt_8t.csv,SIEVE,400,2048,4,500,52440,3068,0.058504958047292145,0.05810450038138825,0.00040045766590389014,0,BurstGPT
burstgpt_8t.csv,SIEVE,400,2048,8,500,52440,7219,0.13766209000762777,0.13731884057971014,0.00034324942791762013,0,BurstGPT
burstgpt_8t.csv,SIEVE,400,2048,16,500,52440,15246,0.29073226544622427,0.2904271548436308,0.00030511060259344014,0,BurstGPT
azure_conv_8t.csv,LRU,50,256,2,500,79516,1611,0.020260073444338247,0.019744453946375574,0.0005156194979626742,79074,Azure-Conv
azure_conv_8t.csv,LRU,50,256,4,500,79516,4778,0.06008853564062579,0.059598068313295435,0.0004904673273303487,79074,Azure-Conv
azure_conv_8t.csv,LRU,50,256,8,500,79516,11319,0.14234870969364657,0.14192112279289704,0.0004275869007495347,79074,Azure-Conv
azure_conv_8t.csv,LRU,50,256,16,500,79516,23806,0.2993862870365713,0.29914734141556415,0.0002389456210070929,79074,Azure-Conv
