workload,seed,method,segment_bytes,makespan_ns,valid_throughput_gbps,total_requested_bytes,total_valid_bytes,total_stale_bytes,total_wire_bytes,total_control_bytes,total_header_bytes,stale_mib_per_gib,control_header_overhead_pct,completed_valid_requests,rejected_requests,aborted_requests,rpe_events,extra_rtt,serialized_acquire_ns,pin_span_ratio_median,pin_span_ratio_p95,evict_attempts_queue,evict_attempts_xfer,evict_attempts_total,evict_fired,evict_blocked,queue_reclaim,n_requests
large_object,1002,GenOnly,0,96671040.98037432,3.072063174123586,314572800,296979545,9466791,306446336,153600,0,30.816376953125,0.05012296834901625,1169,31,0,75,0,0.0,0.0,0.0,31,75,106,106,0,Y,1200
large_object,1002,RDMAKey,0,96671040.98037432,3.072063174123586,314572800,296979545,9466791,306446336,153600,0,30.816376953125,0.05012296834901625,1169,31,0,75,0,0.0,0.0,0.0,31,75,106,106,0,Y,1200
large_object,1002,Segmented-64,64,96971644.81376673,3.062540040135927,314572800,296979545,2215,296981760,37276320,74245440,0.007210286458333334,37.55172034807794,1169,31,75,75,0,0.0,0.0,0.0,31,75,106,106,0,Y,1200
large_object,1002,Segmented-256,256,96683316.98037432,3.071673110473482,314572800,296979545,8871,296988416,9434488,18561776,0.028876953125,9.426719188939678,1169,31,75,75,0,0.0,0.0,0.0,31,75,106,106,0,Y,1200
large_object,1002,Segmented-4096,4096,96671796.98037432,3.072039149745927,314572800,296979545,185255,297164800,734000,1160800,0.6030436197916667,0.6376259906960717,1169,31,75,75,0,0.0,0.0,0.0,31,75,106,106,0,Y,1200
large_object,1002,Segmented-16384,16384,96671220.98037432,3.072057453999585,314572800,296979545,619431,297598976,298912,290624,2.016376953125,0.19809745581920282,1169,31,75,75,0,0.0,0.0,0.0,31,75,106,106,0,Y,1200
large_object,1002,PROSE,0,96671040.98037432,3.169991063427291,314572800,306446336,0,306446336,153600,0,0.0,0.05012296834901625,1169,31,0,0,0,0.0,1.0,1.0,31,75,106,31,75,Y,1200
large_object,1003,NoCheck,0,97862976.21656163,3.014066201576262,314572800,294965489,19607311,314572800,153600,0,63.82588216145833,0.048828125,1200,0,0,107,0,0.0,0.0,0.0,41,66,107,107,0,Y,1200
large_object,1003,SharedRef,0,97863226.21656163,3.2144127284735284,314572800,314572800,0,314572800,230400,0,0.0,0.0732421875,1200,0,0,0,1,250.0,2.6754871417787114,8.164769193143032,41,66,107,0,107,N,1200
large_object,1003,TwoPhase,0,97866485.21656163,3.2143056870174167,314572800,314572800,0,314572800,307200,0,0.0,0.09765625,1200,0,0,0,1,3500.0,2.629048025134703,8.121414714622889,41,66,107,0,107,N,1200
