method,segment_bytes,normalized_throughput_gmean,normalized_throughput_ci_low,normalized_throughput_ci_high,stale_mib_per_gib,stale_ci_low,stale_ci_high,extra_rtt,pin_span_ratio_median,pin_span_ratio_p95,control_header_overhead_pct,queue_reclaim,rpe_events,num_runs
NoCheck,0,1.0,1.0,1.0,104.08162022569445,78.76129759395336,143.5867274780273,0,0.0,0.0,0.09765625,Y,8061,30
SharedRef,0,1.1854338063541359,1.1210946554831682,1.2565376607097596,0.0,0.0,0.0,1,2.955591473190201,31.789555785920587,0.146484375,N,0,30
TwoPhase,0,1.185233726045743,1.1208050700426786,1.2548532880577434,0.0,0.0,0.0,1,2.778943650589683,31.79064643722886,0.1953125,N,0,30
GenOnly,0,1.00330281011256,1.0014807892979096,1.0054035136163633,54.61673133680556,41.04227304169626,75.98220158265129,0,0.0,0.0,0.10261302939202008,Y,5582,30
GenOnlyEpochFence,0,1.006721595554555,1.0039113456108486,1.0097879547154849,53.09980425347222,40.03555398791575,73.45338028428819,0,0.0,0.0,0.10261302939202008,Y,5582,30
RDMAKey,0,1.00330281011256,1.0014660293938868,1.0054236254361673,54.61673133680556,40.895899421813,75.87667498477256,0,0.0,0.0,0.10261302939202008,Y,5582,30
Segmented-64,64,0.9936850984812585,0.9879416292689831,0.9992683929840759,0.03806467013888889,0.022578271248490336,0.06219747671203897,0,0.0,0.0,37.60870079839528,Y,5582,30
Segmented-256,256,1.0034969881612121,1.0014492620336533,1.0058998031817723,0.1553980034722222,0.09185843977347884,0.2536686485140931,0,0.0,0.0,9.48368693621671,Y,5582,30
Segmented-4096,4096,1.003908811316158,1.0019280638377268,1.0061545220536579,2.4638424479166665,1.4819505319940476,4.034588589138455,0,0.0,0.0,0.6943524256032688,Y,5582,30
Segmented-16384,16384,1.003869762770853,1.001893590652537,1.0061651166748296,9.930509114583334,5.946315177951389,16.125916270935452,0,0.0,0.0,0.25402873107219337,Y,5582,30
PROSE,0,1.1051917751885045,1.067474219202385,1.145116383109582,0.0,0.0,0.0,0,1.0,1.0,0.10261302939202008,Y,0,30
